Title,Release year,Genre,IMDB Rating,Runtime,Age rating,Production country,Streaming service,URL,Type
 Laapataa Ladies ,2024,"Drama, Comedy",8.5,2h 2min,UA,India,Netflix,https://www.justwatch.com/in/movie/laapataa-ladies,Movie
 Article 370 ,2024,"Action & Adventure, Drama, Mystery & Thriller",8.0,2h 38min,Not Available,India,Netflix,https://www.justwatch.com/in/movie/article-370,Movie
 Manjummel Boys ,2024,"Mystery & Thriller, Drama, Action & Adventure",8.4,2h 15min,UA,India,Hotstar,https://www.justwatch.com/in/movie/manjummel-boys,Movie
 Premalu ,2024,"Comedy, Romance",7.9,2h 36min,U,India,"Hotstar,aha",https://www.justwatch.com/in/movie/premalu,Movie
 Dune: Part Two ,2024,"Science-Fiction, Action & Adventure, Drama",8.7,2h 47min,Not Available,United States,NA,https://www.justwatch.com/in/movie/dune-part-two,Movie
 Aavesham ,2024,"Comedy, Action & Adventure",8.0,NA,Not Available,India,Amazon Prime Video,https://www.justwatch.com/in/movie/aavesham-2024,Movie
 Shōgun ,2024,"Drama, Comedy",8.8,59min,UA,India,Hotstar,https://www.justwatch.com/in/tv-show/shogun-2024,Tv Show
 Panchayat ,2024,"Mystery & Thriller, Drama, Action & Adventure",8.9,33min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/panchayat,Tv Show
 Fallout ,2024,"Action & Adventure, Drama, Comedy, Romance",8.5,59min,Not Available,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/fallout,Tv Show
 Mirzapur ,2024,"Horror, Mystery & Thriller",8.5,50min,UA,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/mirzapur,Tv Show
 Game of Thrones ,2024,"Comedy, Romance",9.2,58min,U,India,Jio Cinema,https://www.justwatch.com/in/tv-show/game-of-thrones,Tv Show
 3 Body Problem ,2024,"Science-Fiction, Action & Adventure, Drama",7.5,56min,Not Available,United States,Netflix,https://www.justwatch.com/in/tv-show/3-body-problem,Tv Show
 Dead Boy Detectives ,2024,"Comedy, Action & Adventure",7.6,54min,Not Available,India,Netflix,https://www.justwatch.com/in/tv-show/dead-boy-detectives,Tv Show
 Baby Reindeer ,2024,"Drama, Comedy",7.9,34min,UA,India,Netflix,https://www.justwatch.com/in/tv-show/baby-reindeer,Tv Show
 Apharan ,2024,"Romance, Science-Fiction, Comedy, Drama",8.3,24min,Not Available,India,"Jio Cinema,Alt Balaji",https://www.justwatch.com/in/tv-show/apharan,Tv Show
 Young Sheldon ,2024,"Mystery & Thriller, Drama, Action & Adventure",7.6,19min,UA,"India, United States","Amazon Prime Video,Netflix",https://www.justwatch.com/in/tv-show/young-sheldon,Tv Show
 Attack on Titan ,2024,NA,9.0,25min,UA,"Australia, United States",Amazon Prime Video,https://www.justwatch.com/in/tv-show/attack-on-titan,Tv Show
 Farzi ,2024,NA,8.4,56min,Not Available,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/farzi,Tv Show
